[2025-02-23 12:49:26,970: INFO: config: PyTorch version 2.6.0 available.]
[2025-02-23 12:49:27,149: INFO: main: stage Data Ingestion stage initiated]
[2025-02-23 12:49:27,150: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-02-23 12:49:27,151: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-23 12:49:27,151: INFO: common: created directory at: artifacts]
[2025-02-23 12:49:27,151: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-23 12:49:29,236: INFO: data_ingestion: File is downloaded]
[2025-02-23 12:49:29,343: INFO: main: Stage Data Ingestion stage Completed]
[2025-02-23 12:49:29,344: INFO: main: stage Data Transformation stage initiated]
[2025-02-23 12:49:29,345: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-02-23 12:49:29,345: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-23 12:49:29,345: INFO: common: created directory at: artifacts]
[2025-02-23 12:49:29,345: INFO: common: created directory at: artifacts/data_transformation]
[2025-02-23 12:49:31,248: INFO: main: Stage Data Transformation stage Completed]
[2025-02-23 12:49:31,248: INFO: main: stage Model Trainer stage initiated]
[2025-02-23 12:49:31,249: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-02-23 12:49:31,250: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-23 12:49:31,250: INFO: common: created directory at: artifacts]
[2025-02-23 12:49:31,250: INFO: common: created directory at: artifacts/model_trainer]
[2025-02-23 12:51:15,319: INFO: main: Stage Model Trainer stage Completed]
